25k,,,
current_min,time_min,current_max,time_max
10000,0.013152,60.4216,299.721
10000,0.01,61.3347,234.358
1106.15,0.01,62.8874,179.441
1106.15,0.01,64.4794,129.651
1106.15,0.01,67.0438,90.0036
1023.18,0.011626,69.5709,63.7423
915.48,0.01462,72.7003,43.3301
816.561,0.018479,75.1395,31.1199
722.298,0.023819,78.913,20.902
637.59,0.030514,83.2082,13.6241
572.256,0.038054,86.5174,10.3692
517.367,0.046202,90.3188,7.52961
465.318,0.057383,94.9496,5.25323
415.904,0.071564,101.225,3.62858
373.286,0.089527,109.436,2.50137
326.779,0.114807,117.606,1.84751
295.743,0.139677,129.715,1.32424
268.212,0.168016,143.358,0.998841
243.496,0.20336,158.276,0.776343
217.638,0.253616,177.922,0.590869
195.539,0.313369,207.336,0.426492
176.234,0.384016,234.708,0.330165
161.666,0.460501,265.428,0.259198
146.616,0.570172,310.239,0.193561
133.66,0.711814,361.168,0.148204
124.667,0.859776,431.101,0.111786
115.078,1.09461,490.46,0.090703
108.344,1.3331,554.653,0.073891
102.217,1.64889,627.249,0.060983
95.5392,2.15191,704.398,0.051759
89.9491,2.77097,812.684,0.042589
85.5711,3.4629,955.603,0.034453
82.0007,4.22175,1102.5,0.029183
78.6609,5.42504,1277.09,0.025396
75.8504,6.91397,1533.55,0.021684
73.6745,8.949,1810.47,0.01964
71.4124,11.5472,2109.78,0.017914
69.5081,14.0631,2608,0.016193
67.444,17.9413,3141.14,0.015053
65.7139,22.1226,3914.1,0.014064
64.1613,27.8185,4761.61,0.013152
62.6455,34.6934,10000,0.013152
61.2291,42.3834,10000,0.013152
