current_min,time_min,current_max,time_max
10000,0.013152,30.185,299.721
10000,0.01,30.3667,252.864
534.867,0.01,30.58,209.108
534.867,0.01,31.0111,164.49
534.867,0.01,31.5113,128.233
488.617,0.01193,31.9556,102.191
439.918,0.014786,32.471,81.9287
394.839,0.018251,33.393,58.6066
354.011,0.022668,34.5824,38.4688
318.728,0.028125,35.6,28.3562
288.456,0.034359,36.8681,20.3248
257.021,0.042894,38.1431,15.4536
229.487,0.053882,40.0587,10.4944
205.117,0.06699,42.0705,7.65106
181.816,0.085112,45.0308,5.15952
160.995,0.107691,48.7325,3.5143
142.558,0.137531,52.3706,2.56213
127.286,0.173299,56.6191,1.90759
113.297,0.219045,62.5112,1.37553
101.265,0.275443,69.2931,1.02926
90.6061,0.344935,76.3514,0.803996
80.397,0.440058,81.9694,0.67492
72.3088,0.55565,90.3188,0.550372
65.5092,0.702328,100.318,0.442125
60.4701,0.879519,115.739,0.337172
55.4714,1.13136,129.197,0.2714
51.3643,1.45533,144.076,0.223988
48.1583,1.82249,164.078,0.178501
45.0586,2.30121,186.111,0.141825
42.3341,2.90868,218.403,0.10805
40.0232,3.73001,245.511,0.088375
37.7598,4.91334,277.645,0.072791
36.1843,6.37265,324.843,0.057145
34.7106,8.14684,366.993,0.047827
33.5401,10.4042,427.239,0.039314
32.6118,13.5642,495.885,0.032576
31.7422,17.1802,613.6,0.025754
30.6399,23.6087,807.016,0.020483
29.8229,30.5261,1056.1,0.017143
29.0578,39.3483,1398.76,0.014948
28.283,53.6823,1884.35,0.013152
27.6148,71.152,10000,0.013152
27.0466,94.3067,10000,0.013152
