40k,,,
current_min,time_min,current_max,time_max
10000,0.01284,97.8412,300.922
10000,0.01,98.7257,250.097
1806.85,0.01,100.217,209.526
1806.85,0.01,103.063,164.984
1806.85,0.01,107.055,122.223
1485.25,0.014888,110.426,92.9303
255.531,0.494029,114.473,69.3973
232.605,0.608255,119.026,48.1754
212.16,0.749641,124.629,33.6444
198.213,0.897484,130.105,22.2835
184.813,1.08528,135.686,14.9072
173.702,1.27997,141.506,10.5259
166.225,1.49756,147.281,7.39529
152.985,2.01948,154.523,5.06748
146.84,2.42502,162.771,3.70559
140.519,3.05824,171.974,2.76998
133.265,4.03837,180.25,2.22518
129.456,5.06241,194.288,1.69357
125.254,6.4808,214.507,1.25087
122.039,8.05138,241.614,0.909227
118.788,10.1537,289.265,0.58851
115.047,13.1292,359.367,0.371145
112.656,16.1488,447.351,0.24071
109.655,20.1831,582.508,0.148947
106.841,25.2505,711.477,0.104229
102.652,34.9475,901.755,0.070287
99.8177,45.5517,1175.37,0.047779
96.6741,60.7549,1480.8,0.035787
95.0445,70.7285,1847.04,0.028067
92.5127,90.9991,2213.52,0.02375
89.4201,120.524,2671.35,0.020709
86.5174,153.063,3156.88,0.018795
84.2127,202.522,3741.87,0.017281
82.0514,249.348,4676.66,0.01573
80.749,302.128,6440.36,0.014064
