50k,,,
current_min,time_min,current_max,time_max
10000,0.013151,121.121,299.398
10000,0.01,122.385,259.733
2338.1,0.01,125.733,200.156
2338.1,0.01,130.249,149.706
2338.1,0.01,135.49,107.896
2098.51,0.01228,140.941,75.5533
1856.26,0.015682,147.068,53.453
1631.77,0.020298,153.622,35.8822
1447.91,0.025816,160.301,25.2558
1304.95,0.031571,167.096,17.5761
1176.11,0.038888,172.919,12.4862
1056.69,0.047852,181.942,8.42509
956.335,0.057383,192.631,5.37178
861.915,0.070976,209.527,3.13471
784.934,0.085025,231.002,2.02144
710.384,0.10355,259.48,1.39379
643.583,0.125591,298.512,0.964001
591.612,0.148292,352.443,0.668113
541.018,0.17673,428.834,0.444357
486.59,0.219045,498.488,0.327936
437.182,0.270095,554.736,0.265795
397.722,0.331328,656.319,0.190974
348.896,0.431959,764.508,0.143723
317.735,0.527161,898.888,0.107276
283.993,0.667007,1043.8,0.083439
253.044,0.858003,1246.54,0.06273
235.04,1.05034,1464.12,0.048993
215.164,1.38929,1673.9,0.040494
199.855,1.81311,2036.72,0.032185
188.749,2.2682,2178.88,0.029915
179.562,2.82001,2760.67,0.023875
173.507,3.38517,3526.97,0.019958
167.134,4.25675,4534.13,0.017565
161.162,5.45873,5786.7,0.015636
157.191,6.56625,7431.43,0.014178
152.048,8.50772,10000,0.013151
147.38,11.1721,10000,0.013151
