current_min,time_min,current_max,time_max
10000,0.013152,7.28887,299.721
10000,0.01,7.28159,278.899
142.855,0.01,7.37687,207.649
142.855,0.01,7.51085,146.035
142.855,0.01,7.58634,93.8642
104.8,0.018384,7.71641,63.1712
76.0873,0.034394,7.80956,42.0495
50.5171,0.077323,7.91966,26.1238
34.4231,0.164753,8.07965,17.8293
24.2751,0.332699,8.46,10.2866
16.8714,0.700157,9.07341,6.25164
13.1462,1.18882,10.9173,3.04604
9.83661,2.34678,12.9144,1.95588
8.20903,4.00117,16.3519,1.17449
7.25385,7.39366,27.5319,0.449256
6.90078,10.7535,49.9662,0.164942
6.68195,15.2105,95.2348,0.067599
6.49702,23.4388,149.357,0.042039
6.3172,33.1191,295.699,0.023965
6.21946,47.5275,567.558,0.016586
6.12323,80.5322,940.435,0.013152
6.09149,119.078,10000,0.013152
6.03477,164.651,10000,0.013152
