140k,,,
current_min,time_min,current_max,time_max
10000,0.02069,370.832,598.771
10000,0.01001,373.925,571.066
7816.36,0.01001,384.552,479.842
7816.36,0.01001,402.941,355.219
7816.36,0.01001,427.945,247.205
7147.91,0.011832,452.147,178.167
6289.99,0.015299,476.727,127.749
5616.18,0.019238,501.602,90.8478
4973.02,0.024467,534.389,57.1537
4435.68,0.030862,557.622,39.6928
3935.89,0.039049,583.075,26.3179
3463.49,0.050595,599.025,19.007
3079.63,0.064083,625.069,12.4862
2718.46,0.082093,654.278,8.68051
2467.96,0.099568,683.433,6.26915
2158.24,0.132789,720.587,4.67934
1953.26,0.164753,770.882,3.42855
1760.41,0.206745,851.657,2.35185
1583.31,0.25944,932.145,1.72675
1424.02,0.332699,1048.15,1.25093
1314.48,0.406443,1153.17,0.957076
1182.24,0.535938,1334.93,0.655842
1072.18,0.692969,1532.54,0.471709
975.411,0.900645,1741.25,0.34669
894.781,1.15496,1970.18,0.263342
814.018,1.52608,2226.89,0.203565
755.317,1.90716,2612.89,0.147624
702.307,2.44821,3046.77,0.111788
663.28,3.05639,3560.07,0.085351
630.341,3.84729,4247.12,0.064632
594.077,5.14158,5124.93,0.048641
571.661,6.37923,5951.17,0.039383
547.809,8.22286,6917.79,0.032484
528.785,10.6212,8611.63,0.024751
513.082,13.1914,10000,0.02069
499.401,16.4515,10000,0.02069
