current_min,time_min,current_max,time_max
10000,0.034095,577.054,598.771
10000,0.015715,590.996,482.319
10000,0.015715,611.591,381.772
10000,0.015715,644.839,275.152
10000,0.015715,665.235,221.868
9259.59,0.017915,694.157,170.449
8345.38,0.021819,726.596,134.777
7428.19,0.027155,770.083,97.2376
6722.69,0.033071,811.105,71.5399
5764.05,0.044702,853.426,51.9871
5141.23,0.056502,892.381,37.2759
4500.71,0.074427,926.358,28.7552
3935.89,0.1006,966.633,20.4069
3427.67,0.137389,1004.47,15.0758
3070.04,0.176002,1052.51,11.5461
2738.32,0.230407,1106.27,8.35596
2457.72,0.302877,1167.63,6.30801
2194.44,0.40227,1245.24,4.61236
2000.52,0.51109,1354.47,3.25311
1816.18,0.663574,1465.64,2.37865
1638.56,0.884069,1602.5,1.71611
1489.12,1.14783,1750.31,1.25222
1366.02,1.51979,1957.95,0.90251
1264.88,1.97119,2156.38,0.69121
1176.11,2.57785,2404.69,0.526119
1106.15,3.29214,2695.54,0.395541
1041.42,4.28319,3005.93,0.308285
994.868,5.31421,3390.56,0.234653
955.341,6.62753,3868.32,0.177508
926.008,8.10491,4464.08,0.132357
891.068,10.2127,5156.95,0.098487
859.231,12.7235,5804.75,0.079415
838.06,15.5117,6643.34,0.063184
810.641,19.7282,7610.98,0.050739
788.205,23.977,8856.39,0.040203
772.79,28.0781,10000,0.034095
753.748,34.5148,10000,0.034095
