current_min,time_min,current_max,time_max
10000,0.013165,14.6047,299.421
10000,0.01,14.6633,261.871
232.127,0.01,14.8403,198.909
232.127,0.01,14.9744,146.767
232.127,0.01,15.1552,103.425
208.34,0.012191,15.277,78.6375
180.123,0.016276,15.5233,57.1596
156.702,0.021528,15.758,40.32
136.043,0.028534,15.9641,24.4553
120.213,0.036141,16.1892,17.2161
100.427,0.051437,16.599,11.703
88.7418,0.065622,17.3978,8.00322
77.9284,0.085288,18.828,5.03213
66.5387,0.116839,20.1932,3.67606
55.5291,0.165606,22.2723,2.64545
48.6615,0.215236,25.6449,1.77152
43.4939,0.268982,29.7654,1.21268
38.9965,0.33615,34.2041,0.876201
35.0369,0.419656,42.1547,0.575704
31.2836,0.5376,49.9662,0.415546
28.283,0.666319,59.7606,0.300844
25.6234,0.838742,70.3404,0.223317
22.8547,1.13604,87.4744,0.15379
20.8135,1.50885,105.99,0.113817
18.9743,2.06702,126.513,0.087846
17.4058,2.864,154.523,0.065996
16.4899,3.66514,191.396,0.04963
15.5089,5.02616,243.312,0.037509
14.8618,6.59342,322.9,0.027955
14.2121,9.16396,395.576,0.02342
13.7186,13.1642,498.869,0.019542
13.4363,17.8305,658.091,0.016586
13.1736,25.6141,821.673,0.014844
13.0103,34.6219,1030.03,0.013165
12.8891,45.4645,10000,0.013165
12.7957,61.2632,10000,0.013165
