15k,,,
current_min,time_min,current_max,time_max
10000,0.013126,37.6129,299.122
10000,0.01,37.6505,281.421
682.16,0.01,38.3727,213.973
682.16,0.01,38.9137,156.467
682.16,0.01,39.7793,111.703
622.527,0.01182,40.7048,77.3893
556.996,0.01471,42.0705,51.1544
499.401,0.018346,43.6562,37.1828
443.131,0.023285,44.8959,28.1584
398.55,0.02877,46.6814,20.5497
361.073,0.034967,48.3926,15.3458
327.119,0.042805,50.5188,10.7278
294.21,0.05289,53.5891,7.79002
267.377,0.064017,56.2804,5.70785
243.496,0.076688,60.1202,4.11584
218.091,0.096234,63.9656,3.10757
195.336,0.120886,70.0596,2.17459
170.114,0.157439,75.0644,1.72261
152.365,0.195943,81.6422,1.32689
134.636,0.252311,90.6808,0.971261
119.963,0.318258,103.373,0.709524
106.668,0.406863,122.039,0.490583
95.0439,0.519599,142.5,0.355169
88.19,0.626312,164.901,0.269506
82.0007,0.751831,197.027,0.194726
75.3005,0.951278,223.261,0.156427
69.2917,1.21612,254.765,0.123296
64.7644,1.50574,297.776,0.094688
61.2291,1.82249,354.371,0.070994
58.0072,2.26119,418.36,0.055623
54.1609,3.03126,504.387,0.042546
51.4712,3.87519,611.15,0.033737
49.2724,4.80304,755.472,0.026912
47.2656,6.13391,917.216,0.022569
44.965,8.00516,1131.54,0.019367
42.9101,11.0232,1460.22,0.016787
41.334,14.7468,2002.88,0.014681
40.2318,18.3533,2674.03,0.013126
38.8751,23.9523,10000,0.013126
38.0752,29.171,10000,0.013126
