current_min,time_min,current_max,time_max
10000,0.013152,18.1804,299.421
10000,0.01,18.2168,240.772
317.075,0.01,18.3448,171.374
317.075,0.01,18.7154,114.531
317.075,0.01,18.9035,82.1748
290.563,0.01165,19.2468,60.9984
255.954,0.014878,19.6946,44.8286
227.587,0.018806,20.2336,30.4427
200.479,0.024266,20.7044,23.3792
176.784,0.031214,21.3776,16.541
154.92,0.040737,21.9627,12.3523
133.244,0.055063,22.8133,8.79202
118.723,0.06924,24.1032,6.37793
102.43,0.092152,25.517,4.58983
90.7003,0.116959,28.3704,2.90038
79.0708,0.154701,31.8598,1.92676
69.943,0.198795,36.2104,1.3564
62.256,0.251791,40.9907,1.00084
55.012,0.32389,49.568,0.664207
48.51,0.420089,57.8207,0.477514
43.1786,0.53373,69.4319,0.34022
39.1183,0.660841,82.1335,0.248537
35.0733,0.843952,99.6183,0.173572
31.512,1.11169,124.879,0.119652
28.2536,1.51666,153.138,0.086712
25.2007,2.19,193.513,0.061472
22.6655,3.27182,254.511,0.042931
21.0747,4.52866,326.472,0.032544
19.8417,6.59342,423.411,0.025244
18.7781,9.45211,546.396,0.020401
18.0695,12.7103,725.124,0.017006
17.442,17.7754,961.354,0.014726
17.03,23.2221,1235.63,0.013152
16.6622,30.9384,10000,0.013152
16.2855,43.4462,10000,0.013152
