current_min,time_min,current_max,time_max
10000,0.013165,76.5808,299.421
10000,0.01,76.9646,258.23
1421.06,0.01,78.1278,197.719
1421.06,0.01,80.4267,140.169
1421.06,0.01,82.9589,101.377
1299.54,0.01182,86.0859,70.2351
1148.32,0.015126,90.4092,47.9351
1034.95,0.01869,93.9108,33.1435
931.802,0.022974,98.2333,22.8933
845.058,0.028067,105.04,14.0953
766.39,0.034146,114.932,8.04334
695.768,0.041758,122.039,5.32197
625.121,0.05181,131.807,3.39683
565.749,0.063163,144.509,2.11454
507.777,0.076925,166.225,1.30975
466.287,0.090924,189.302,0.911959
415.04,0.11457,216.014,0.66288
364.467,0.146618,261.738,0.437726
330.537,0.17673,316.506,0.301145
293.904,0.222233,316.19,0.302352
261.06,0.280029,354.016,0.245082
233.822,0.34672,409.666,0.186903
213.16,0.423135,470.287,0.147613
196.15,0.510563,539.338,0.115306
180.123,0.620522,611.762,0.09235
165.922,0.772278,707.928,0.072937
152.523,0.975134,824.967,0.056917
141.966,1.20861,973.933,0.044862
133.382,1.4949,1155.56,0.035931
125.447,1.89734,1384.84,0.029565
118.476,2.39325,1732.53,0.024206
112.593,3.02189,2126.73,0.020709
107.559,3.88319,2690.12,0.01804
103.178,4.98484,3523.96,0.015793
99.4921,6.18476,4338.74,0.014579
97.2425,7.44727,5336.58,0.013621
93.6707,9.33578,6169.3,0.013165
90.7946,11.7758,10000,0.013165
88.19,14.8844,10000,0.013165
