65k,,,
current_min,time_min,current_max,time_max
10000,0.013192,152.509,299.09
10000,0.01,153.622,277.143
2905.47,0.01,156.357,229.774
2905.47,0.01,158.645,191.485
2905.47,0.01,161.805,152.664
2670.85,0.011832,165.371,123.735
2372.37,0.015064,169.366,99.4658
2094.15,0.019397,173.639,75.5533
1838.97,0.025184,179.503,59.1295
1664.31,0.030862,189.458,38.9236
1492.22,0.038094,195.451,29.9029
1314.48,0.048649,201.633,22.7842
1174.89,0.060797,208.876,16.6253
1054.5,0.075044,218.864,11.1259
944.48,0.092628,226.726,8.46858
819.963,0.122899,237.075,5.98524
718.554,0.157928,251.525,4.22576
654.377,0.191347,271.606,2.70823
592.843,0.233037,292.379,1.96601
541.018,0.280897,317.035,1.48569
465.802,0.379681,359.463,1.05219
415.04,0.482889,407.568,0.773325
369.425,0.623089,468.875,0.566614
338.184,0.758847,543.338,0.417301
306.064,0.953244,636.857,0.306071
279.019,1.22241,745.698,0.225183
260.788,1.50885,930.212,0.149306
246.809,1.85284,1133,0.105523
235.04,2.2426,1350.26,0.077956
224.532,2.80549,1614.18,0.058911
216.285,3.42735,1964.05,0.044979
208.991,4.27877,2377.39,0.035274
203.418,5.04695,3040.45,0.027183
197.994,6.18476,3957.67,0.021874
192.514,7.47036,4972.96,0.01882
186.603,9.37439,6657.15,0.015945
180.498,11.788,8125.33,0.014518
176.784,14.9151,10000,0.013192
170.822,19.0283,10000,0.013192
