100k,,,
current_min,time_min,current_max,time_max
10000,0.015619,241.295,299.398
10000,0.01001,244.319,268.711
4952.39,0.01001,254.677,204.742
4952.39,0.01001,266.855,154.881
4952.39,0.01001,279.036,118.497
4547.74,0.011881,293.9,88.8126
4039.51,0.015048,307.315,61.6796
3562.07,0.019477,319.347,49.0231
3144.33,0.025106,334.618,34.9341
2839.78,0.030545,344.844,26.5904
2570.07,0.037085,356.86,16.8841
2355.17,0.04397,369.68,12.2568
2153.76,0.05289,382.959,8.79751
1901.18,0.067198,402.105,5.94225
1701.05,0.082945,422.647,4.31371
1479.86,0.109258,447.014,3.10579
1311.75,0.136541,481.702,2.18827
1170.01,0.171166,529.97,1.53547
1053.4,0.209538,587.327,1.08186
958.325,0.252832,686.989,0.739826
885.528,0.296078,804.398,0.53431
810.641,0.355781,920.607,0.408372
741.315,0.427083,1116.66,0.27555
681.452,0.514265,1381.44,0.185354
626.422,0.623089,1571.2,0.144912
569.289,0.76989,1794.46,0.114349
524.952,0.951278,2013.6,0.092586
492.186,1.14546,2311.68,0.072833
463.869,1.36091,2892.68,0.051688
441.751,1.60358,3443.76,0.040203
421.562,1.92893,4015.61,0.033229
403.134,2.28229,4755.88,0.027692
386.715,2.74818,5620.94,0.023728
372.123,3.26171,6705.7,0.020542
354.748,4.08461,8252.83,0.017583
342.073,4.99514,10000,0.015619
332.26,6.12758,10000,0.015619
