current_min,time_min,current_max,time_max
10000,0.013152,2.43111,299.721
10000,0.01,2.44574,271.198
142.855,0.01,2.5278,218.514
142.855,0.01,2.65209,170.861
142.855,0.01,2.80765,133.333
132.415,0.01159,3.06592,96.2404
118.107,0.014529,3.40195,69.7452
106.668,0.017786,3.74847,53.7771
96.7384,0.021506,4.18853,40.5626
86.196,0.027099,4.8421,29.3956
76.0873,0.034608,5.44855,22.4624
68.1488,0.04316,6.09427,17.9366
61.4203,0.052945,6.89881,14.1235
55.0693,0.065622,7.6856,11.5634
49.5291,0.080582,8.46,9.80453
43.1786,0.105928,8.78766,7.6971
37.253,0.140689,9.26597,5.52809
33.1587,0.178932,9.93783,4.08304
29.088,0.230883,10.9391,2.98871
25.4376,0.303816,12.3462,2.16591
22.5949,0.38204,13.768,1.67504
20.0073,0.488402,15.1098,1.37966
17.3336,0.656084,17.0875,1.08419
14.6015,0.945406,19.7933,0.821059
12.5063,1.32078,22.9506,0.626779
11.1203,1.75784,26.585,0.480388
9.77545,2.38832,30.8256,0.369663
8.94876,3.03439,35.5644,0.292245
8.32072,3.7687,40.2595,0.234767
7.85017,4.70978,45.2565,0.192788
7.42937,6.16564,51.0776,0.157369
7.16392,7.80933,58.4018,0.128585
6.95841,9.73926,67.6499,0.104438
6.26488,11.5472,77.5053,0.087408
5.65809,13.9043,90.6808,0.071564
5.1796,16.3499,105.356,0.060195
4.60077,20.4749,118.432,0.053016
4.20294,24.7309,136.639,0.045631
3.81564,30.2439,159.07,0.039551
3.46764,37.2924,189.871,0.033872
3.12852,48.3188,219.937,0.030072
2.85207,60.6342,263.84,0.026091
2.59734,79.2134,322.577,0.022614
2.40753,102.952,396.368,0.019917
2.28559,127.999,502.373,0.0177
2.14516,169.653,631.023,0.015952
2.06422,212.894,774.597,0.014755
1.99461,265.507,940.435,0.013152
1.96784,302.064,10000,0.013152
