10k,,,
current_min,time_min,current_max,time_max
10000,0.012943,23.1119,301.223
10000,0.01,23.6969,206.82
417.942,0.01,24.2725,141.153
417.942,0.01,25.2631,77.6219
417.942,0.01,26.4259,43.941
340.135,0.015038,27.8086,23.995
128.425,0.101351,29.5578,13.4347
115.739,0.125536,31.1666,9.1967
104.099,0.156115,33.2597,6.25789
92.5127,0.200656,36.0298,4.13233
83.2082,0.251035,39.6601,2.6935
76.275,0.303868,43.7874,1.89618
67.3798,0.396071,48.5865,1.35912
60.9069,0.496505,54.399,0.997842
55.8878,0.602805,63.9017,0.689243
51.0776,0.745157,77.7381,0.449256
47.3869,0.893008,95.9038,0.296959
44.2717,1.08095,120.463,0.196486
41.4027,1.29672,152.222,0.130659
38.9526,1.56493,198.015,0.086279
36.4283,1.99938,249.222,0.061411
34.3412,2.52651,308.075,0.045814
32.7645,3.09207,378.548,0.035396
30.7948,4.05456,482.192,0.027183
29.2929,5.07255,590.721,0.022637
27.8643,6.46785,698.086,0.019759
26.8253,8.1323,834.091,0.017524
25.8768,10.174,1036.22,0.015527
25.0869,13.301,1250.55,0.014262
24.5656,16.3274,1494.19,0.013205
23.9351,20.3045,10000,0.012943
23.4377,25.3263,10000,0.012943
